bedroom_count,prompt_robustness_iou
4,0.41575076155417656
5,0.35267570773863693
3,0.3868472044948501
3,0.4391402373447381
3,0.2841511566933022
0,0.3039422738524925
4,0.2568830772714292
5,0.4490219831993729
4,0.3424985268338888
5,0.32372141056932846
3,0.3688949249504048
4,0.24117619646646238
3,0.44485267860051403
3,0.23699627997340614
4,0.4872529177877945
5,0.29237819098343265
3,0.4260975504473002
3,0.5511309881711497
5,0.2856910831483329
4,0.4113324906852811
3,0.39383718042433113
4,0.40586618418785053
3,0.39976441706754673
5,0.38174650779250385
4,0.45787554178971324
3,0.2825340209620466
3,0.2968599632138838
5,0.3764716544123206
3,0.25254373539257624
4,0.2914927058778011
3,0.29199060943051364
5,0.30489026266211383
1,0.22916017433044825
5,0.2811058956746472
5,0.4317594454778364
0,0.22893674105536982
3,0.3557865465633185
5,0.35647652034603566
3,0.4272017011811552
4,0.391010805733508
4,0.37081118058517604
2,0.2782259949304836
3,0.3508825851441837
2,0.31898756079496937
3,0.4156962535501372
3,0.2988816331422042
5,0.3873317362301208
5,0.28691584095311107
3,0.3245860743019259
1,0.29371211490477533
4,0.42806768604538004
1,0.329720142127352
5,0.31465983172041834
4,0.46187782042398945
5,0.14732456193920068
4,0.26922262318924645
4,0.23668594509048768
3,0.4422852331083674
3,0.4658324149757706
4,0.4139853583043716
5,0.3453961544053219
5,0.3135490813172539
5,0.2639784941179544
4,0.5118301958823605
3,0.3745214671612813
5,0.2856910831483329
4,0.4452327173095776
