index,bedroom_count,mean_seed_edge_iou
0,4,0.18247070546604754
1,5,0.15208001228236695
2,3,0.1630626577376229
3,3,0.15967699948130842
4,3,0.11445769817557097
5,0,0.11463146485008685
6,4,0.1527245758708694
7,5,0.18281550071653402
8,4,0.16273987612549623
9,5,0.14305037537053633
10,3,0.17573738007342105
11,4,0.14741268925640222
12,3,0.17478798561932649
13,3,0.10464456329681904
14,4,0.18309862500831459
15,5,0.1335258250786741
16,3,0.1549074557141164
17,3,0.17575054476927973
18,5,0.14403959944962408
19,4,0.19965203522044805
20,3,0.17029228563634868
21,4,0.16280709435236307
22,3,0.14154445235806815
23,5,0.15863825966011685
24,4,0.15176158328909511
25,3,0.12967646764259805
26,3,0.11373442442249304
27,5,0.14881936257649586
28,3,0.1308811163681055
29,4,0.15361013569430243
30,3,0.1651828409928046
31,5,0.14802950632819145
32,1,0.13280667902375926
33,5,0.12771081920950023
34,5,0.17889803281511346
35,0,0.11390724876019337
36,3,0.20652138694729782
37,5,0.16163645947013874
38,3,0.16918312655869128
39,4,0.14173096714543237
40,4,0.11037159562482102
41,2,0.12393732590186685
42,3,0.14759999255025325
43,2,0.13011250309753908
44,3,0.21189768922448526
45,3,0.13566556657149006
46,5,0.18837228282046373
47,5,0.12026106694448445
48,3,0.17613011939071382
49,1,0.10730075525642288
50,4,0.18357028803729009
51,1,0.13197840354869017
52,5,0.15105991306453986
53,4,0.21283817039554415
54,5,0.07351901108721852
55,4,0.13054259484024144
56,4,0.16506329110150325
57,3,0.16165148473597857
58,3,0.2011565910359175
59,4,0.15635084576345093
60,5,0.13835757699231116
61,5,0.12088704542549256
62,5,0.12174925667740771
63,4,0.21380566509347856
64,3,0.19124749363659516
65,5,0.14403959944962408
66,4,0.17784002540924307
