bedroom_count,samples,edge_iou,chamfer_distance,edge_ssim,clip_similarity
0,2,0.0977334003363956,4.965373139225479,0.8367939181619481,0.30468013882637024
1,3,0.11366052211847884,3.9359598540331704,0.8054634676692324,0.3118198315302531
2,2,0.1389916553533623,2.341847383247781,0.730237942833107,0.3095589131116867
3,23,0.14347265646692697,3.555570596957591,0.7514143554041652,0.3102363373922265
4,18,0.14141345336570416,3.835307895889045,0.724010525628121,0.3029975907670127
5,19,0.12232489696867709,6.117653855961481,0.7336022000770182,0.3064166981922953
