index,bedroom_count,prompt,control_image,original_image,generated_image,edge_iou,chamfer_distance,edge_ssim,clip_similarity
0,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat29_10.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat29_10.jpg,/content/floor_plan_evaluation/test_0000.png,0.15138888888888888,3.504755190751109,0.7571789454839868,0.30142641067504883
1,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat42_5.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat42_5.jpg,/content/floor_plan_evaluation/test_0001.png,0.10663360198388097,6.299082738804174,0.7760354785487779,0.30791234970092773
2,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat5_9.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat5_9.jpg,/content/floor_plan_evaluation/test_0002.png,0.15895391333238407,2.4125093831979445,0.7577736567325097,0.29579591751098633
3,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat14_5.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat14_5.jpg,/content/floor_plan_evaluation/test_0003.png,0.15028864240773174,7.341570124944801,0.7862418467448364,0.3114953637123108
4,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/3 bed 31.png,/content/drive/MyDrive/datafloor/3 bedroom/3 bed 31.png,/content/floor_plan_evaluation/test_0004.png,0.10588606596181158,2.77701087819443,0.730300048782002,0.31769677996635437
5,0,Generate a 0 bedroom floor plan,/content/drive/MyDrive/processed_dataset/0 bedroom/0 bed 10.png,/content/drive/MyDrive/datafloor/0 bedroom/0 bed 10.png,/content/floor_plan_evaluation/test_0005.png,0.09715302491103203,4.670988627742328,0.8297083469959213,0.3084086775779724
6,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat31_4.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat31_4.jpg,/content/floor_plan_evaluation/test_0006.png,0.15673954930049427,4.789871336554952,0.7100421328179874,0.3081199526786804
7,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat51_3.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat51_3.jpg,/content/floor_plan_evaluation/test_0007.png,0.1441110528073272,2.584001920552458,0.7368278654324013,0.31931886076927185
8,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat22_5.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat22_5.jpg,/content/floor_plan_evaluation/test_0008.png,0.16005578571721563,2.298092487853444,0.7281178502729452,0.30852141976356506
9,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat51_9.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat51_9.jpg,/content/floor_plan_evaluation/test_0009.png,0.11214203894616266,6.6275258457627,0.7624616976658449,0.31196460127830505
10,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat3_3.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat3_3.jpg,/content/floor_plan_evaluation/test_0010.png,0.10909226858082847,4.26299024485062,0.8034104545861779,0.3085471987724304
11,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat22_3.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat22_3.jpg,/content/floor_plan_evaluation/test_0011.png,0.10118223452976888,5.2522166348559365,0.6209944311393408,0.3070794939994812
12,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat8_5.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat8_5.jpg,/content/floor_plan_evaluation/test_0012.png,0.11570977917981072,4.527404476945464,0.7213101600703324,0.310916930437088
13,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/3 bed 8.png,/content/drive/MyDrive/datafloor/3 bedroom/3 bed 8.png,/content/floor_plan_evaluation/test_0013.png,0.0900611893304818,5.447820411795522,0.7332851214246928,0.32057100534439087
14,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat20_2.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat20_2.jpg,/content/floor_plan_evaluation/test_0014.png,0.11124961047055157,3.9920859337031693,0.7241229342465377,0.3184395432472229
15,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat51_5.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat51_5.jpg,/content/floor_plan_evaluation/test_0015.png,0.1228785078138128,7.7781869632657195,0.6943966387394248,0.31361138820648193
16,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat13_7.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat13_7.jpg,/content/floor_plan_evaluation/test_0016.png,0.11778267329268917,2.8159243618482073,0.7475212300584636,0.31813493371009827
